,file_name,timestamp,updates_num,diff_updates_num,withdrawls_num,diff_withdrawls_num,peers_num,diff_peers_num,origins_num,diff_origins_num,prefixes_num,diff_prefixes_num,avg_update_per_peer,avg_update_per_origin,avg_prefix_per_peer,avg_prefix_per_origin,new_prefixes_num,more_specific_num,origins_of_new_prefixes,peers_of_new_prefixes,origins_of_more_specific_prefixes,peers_of_more_specific_prefixes,new_peers_num,new_origins_num,Leak_type
51,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.2030.txt,2030,7393,3365,723,85,8,0,369,141,3251,2489,1014,21,560,9,3172,0,323,8,0,0,0,259,0
52,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.2100.txt,2100,5480,-1913,852,129,8,0,178,-191,720,-2531,791,35,253,4,646,0,132,7,0,0,0,93,0
53,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.2130.txt,2130,4512,-968,617,-235,8,0,205,27,817,97,641,25,235,4,747,0,153,7,0,0,0,116,0
54,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.2200.txt,2200,3835,-677,841,224,8,0,210,5,776,-41,584,22,217,3,702,0,160,6,0,0,0,135,0
55,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.2230.txt,2230,11902,8067,1036,195,8,0,404,194,2465,1689,1617,32,716,6,2376,0,348,7,0,0,0,319,0
56,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.2300.txt,2300,7827,-4075,989,-47,8,0,354,-50,2095,-370,1102,24,491,6,2018,0,302,8,0,0,0,253,0
57,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.2330.txt,2330,38531,30704,3389,2400,7,-1,2364,2010,17590,15495,5988,17,3191,7,17468,0,2313,7,0,0,0,2216,0
58,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0030.txt,30,20928,-1529,1271,154,7,0,684,113,4475,381,3171,32,1122,6,3261,26,479,6,8,5,0,464,0
59,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0100.txt,100,21000,72,1786,515,7,0,477,-207,3464,-1011,3255,47,961,7,2573,1,309,7,1,1,0,286,0
60,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0130.txt,130,24431,3431,2097,311,7,0,604,127,3493,29,3789,43,1079,5,2297,11,409,7,4,2,0,391,0
61,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0200.txt,200,30166,5735,2991,894,7,0,513,-91,4857,1364,4736,64,1891,9,3803,14,335,7,1,1,0,285,0
62,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0230.txt,230,21808,-8358,1488,-1503,7,0,488,-25,2565,-2292,3328,47,957,5,1649,0,342,6,0,0,0,283,0
63,telecomMalysia12june2015from840to1040/routeviews-sydney\updates.20150612.0300.txt,300,22609,801,1264,-224,7,0,517,29,3491,926,3410,46,983,6,2651,1,354,7,1,1,0,258,0
